2024-06-10 11:21:36,489.nutrition_producer.INFO ==================================================
2024-06-10 11:21:36,489.nutrition_producer.INFO Today is 2024-06-10 at 11:21 AM
2024-06-10 11:21:36,489.nutrition_producer.INFO Running on: nt Windows 10
2024-06-10 11:21:36,490.nutrition_producer.INFO Python version:  3.11.9
2024-06-10 11:21:36,490.nutrition_producer.INFO Python path: C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0
2024-06-10 11:21:36,490.nutrition_producer.INFO Working dir: C:\Users\bambe\OneDrive\Documents\NMSU\44671_StreamingData\Module_7\44671_streaming-07-final-project
2024-06-10 11:21:36,490.nutrition_producer.INFO ==================================================
2024-06-10 11:21:36,524.nutrition_producer.INFO Queue 'Protein (g)' declared.
2024-06-10 11:21:36,542.nutrition_producer.INFO Queue 'Fat (g)' declared.
2024-06-10 11:21:36,558.nutrition_producer.INFO Queue 'Carbohydrates (g)' declared.
2024-06-10 11:21:36,572.nutrition_producer.INFO Queue 'Sodium (mg)' declared.
2024-06-10 11:21:36,588.nutrition_producer.INFO Queue 'Fiber' declared.
2024-06-10 11:21:37,271.nutrition_producer.INFO  [x] Sent 'Date: 1/19/2023, Protein (g): 137.4' to queue 'Protein (g)'.
2024-06-10 11:21:37,278.nutrition_producer.INFO  [x] Sent 'Date: 1/19/2023, Fat (g): 53.1' to queue 'Fat (g)'.
2024-06-10 11:21:37,285.nutrition_producer.INFO  [x] Sent 'Date: 1/19/2023, Carbohydrates (g): 296.3' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:37,290.nutrition_producer.INFO  [x] Sent 'Date: 1/19/2023, Sodium (mg): 2174.8' to queue 'Sodium (mg)'.
2024-06-10 11:21:37,295.nutrition_producer.INFO  [x] Sent 'Date: 1/19/2023, Fiber: 27.6' to queue 'Fiber'.
2024-06-10 11:21:37,305.nutrition_producer.INFO  [x] Sent 'Date: 1/20/2023, Protein (g): 160.2' to queue 'Protein (g)'.
2024-06-10 11:21:37,309.nutrition_producer.INFO  [x] Sent 'Date: 1/20/2023, Fat (g): 94.4' to queue 'Fat (g)'.
2024-06-10 11:21:37,318.nutrition_producer.INFO  [x] Sent 'Date: 1/20/2023, Carbohydrates (g): 328.5' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:37,323.nutrition_producer.INFO  [x] Sent 'Date: 1/20/2023, Sodium (mg): 2747.4' to queue 'Sodium (mg)'.
2024-06-10 11:21:37,327.nutrition_producer.INFO  [x] Sent 'Date: 1/20/2023, Fiber: 27.8' to queue 'Fiber'.
2024-06-10 11:21:37,336.nutrition_producer.INFO  [x] Sent 'Date: 1/21/2023, Protein (g): 164.5' to queue 'Protein (g)'.
2024-06-10 11:21:37,340.nutrition_producer.INFO  [x] Sent 'Date: 1/21/2023, Fat (g): 63.699999999999996' to queue 'Fat (g)'.
2024-06-10 11:21:37,345.nutrition_producer.INFO  [x] Sent 'Date: 1/21/2023, Carbohydrates (g): 379.4' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:37,355.nutrition_producer.INFO  [x] Sent 'Date: 1/21/2023, Sodium (mg): 4771.2' to queue 'Sodium (mg)'.
2024-06-10 11:21:37,362.nutrition_producer.INFO  [x] Sent 'Date: 1/21/2023, Fiber: 38.8' to queue 'Fiber'.
2024-06-10 11:21:37,369.nutrition_producer.INFO  [x] Sent 'Date: 1/22/2023, Protein (g): 164.90000000000003' to queue 'Protein (g)'.
2024-06-10 11:21:37,374.nutrition_producer.INFO  [x] Sent 'Date: 1/22/2023, Fat (g): 65.00000000000001' to queue 'Fat (g)'.
2024-06-10 11:21:37,379.nutrition_producer.INFO  [x] Sent 'Date: 1/22/2023, Carbohydrates (g): 369.1' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:37,390.nutrition_producer.INFO  [x] Sent 'Date: 1/22/2023, Sodium (mg): 3824.4' to queue 'Sodium (mg)'.
2024-06-10 11:21:37,397.nutrition_producer.INFO  [x] Sent 'Date: 1/22/2023, Fiber: 31.5' to queue 'Fiber'.
2024-06-10 11:21:37,405.nutrition_producer.INFO  [x] Sent 'Date: 1/23/2023, Protein (g): 164.8' to queue 'Protein (g)'.
2024-06-10 11:21:37,410.nutrition_producer.INFO  [x] Sent 'Date: 1/23/2023, Fat (g): 64.80000000000001' to queue 'Fat (g)'.
2024-06-10 11:21:37,420.nutrition_producer.INFO  [x] Sent 'Date: 1/23/2023, Carbohydrates (g): 373.70000000000005' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:37,425.nutrition_producer.INFO  [x] Sent 'Date: 1/23/2023, Sodium (mg): 3795.1' to queue 'Sodium (mg)'.
2024-06-10 11:21:37,429.nutrition_producer.INFO  [x] Sent 'Date: 1/23/2023, Fiber: 37.1' to queue 'Fiber'.
2024-06-10 11:21:37,439.nutrition_producer.INFO  [x] Sent 'Date: 1/24/2023, Protein (g): 164.4' to queue 'Protein (g)'.
2024-06-10 11:21:37,463.nutrition_producer.INFO  [x] Sent 'Date: 1/24/2023, Fat (g): 63.900000000000006' to queue 'Fat (g)'.
2024-06-10 11:21:37,472.nutrition_producer.INFO  [x] Sent 'Date: 1/24/2023, Carbohydrates (g): 375.69999999999993' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:37,479.nutrition_producer.INFO  [x] Sent 'Date: 1/24/2023, Sodium (mg): 4094.4' to queue 'Sodium (mg)'.
